MlsNum,BathsTotal,Beds,GarageCap,DOMAct,Basement,ClosedDate,YearBuilt,DaysOnMarket,ListPrice,Renovated,SalesPrice,StreetNumDisplay,StreetName,Style,AssessTotal,
3557008,1.10,3,1,24,Y,07/22/2019,9999,23,558000,,540000,762,Westfield Avenue,"Colonial,",124700,
3559046,2.10,4,1,112,Y,12/30/2020,1917,132,559000,2011,545000,949,RIPLEY AVE*,"Colonial,",142200,
3597739,2.10,4,2,27,Y,12/10/2019,1964,27,559000,,515000,48,MANITOU CIR*,"SplitLev,",643100,
3545839,2.10,4,1,127,Y,10/24/2019,1909,164,560000,2019,550000,912,RAHWAY AVE*,"Colonial,",137500,
3572037,2.00,4,1,16,Y,12/27/2019,1900,16,565000,,545000,203,N CHESTNUT ST*,"Colonial,",694900,
3517780,2.10,3,1,77,Y,04/01/2019,1954,77,569000,2018,569000,431,EDGAR RD*,"SplitLev,",125500,
3540563,2.10,3,1,21,Y,05/17/2019,1929,21,569000,,560000,827,DORIAN RD*,"Colonial,",133400,
3569164,2.00,4,1,20,Y,08/27/2019,,20,569000,2019,565200,200,WYOMING ST*,"CapeCod,",469500,
3570001,1.20,3,1,106,Y,12/06/2019,1925,106,569000,,540000,433,W GROVE ST*,"Tudor,",549700,
3578268,2.00,3,1,16,N,09/12/2019,1986,15,569000,,556000,114,VIRGINIA ST*,"Colonial,",539800,
3551479,2.10,3,1,139,N,10/23/2019,,139,569900,,550000,7,WOODBROOK CIR,"SplitLev,",707600,
3550491,1.10,3,0,89,Y,09/04/2019,1930,89,575000,,557500,527,N CHESTNUT ST*,"Colonial,",129400,
3572893,3.00,3,1,41,Y,10/01/2019,1955,41,575000,,570000,135,Vernon Terr,"SplitLev,",579700,
3578623,3.00,4,2,8,Y,08/21/2019,1950,1,575000,,540000,846,VILLAGE GREEN*,"RanchExp,",761300,
3586786,1.10,3,1,21,Y,11/26/2019,,21,575000,,585000,606,BENSON PL*,"CapeCod,",572200,
3600828,2.00,3,0,0,Y,11/13/2019,1900,0,575000,,575000,540,TRINITY PL*,"Colonial,",494800,
3559844,1.10,4,2,20,Y,08/22/2019,1927,20,579900,,598000,943,CARLETON RD*,"Colonial,",124300,
3568497,2.10,4,2,80,Y,10/30/2019,1956,80,580000,,525000,442,OTISCO DR*,"SplitLev,",610300,
3568904,2.00,3,2,9,Y,08/23/2019,1947,9,585000,,580000,831,WILLOW GROVE RD*,"Ranch,",592400,
3536798,2.00,3,1,12,Y,06/03/2019,1954,12,589000,,600116,10,BELL DR*,"SplitLev,",0,
3551773,3.00,4,2,15,N,06/21/2019,1972,15,589900,2018,585500,804,COOLIDGE ST*,"Bi-Level,",166200,
3548380,3.10,3,1,13,Y,08/15/2019,2019,14,595000,,595000,321,E GROVE ST*,"TwnIntUn,MultiFlr",143600,
3591379,1.10,4,2,0,Y,12/16/2019,,0,595000,,573000,640,1ST ST*,"CapeCod,",597300,
3522828,2.00,3,1,13,Y,02/28/2019,,13,599000,,590000,744,OAK AVE*,"Colonial,",115900,
3526405,2.10,4,2,18,Y,04/01/2019,1881,18,599000,,671000,935,SUMMIT AVE*,"Colonial,",164300,
3545320,3.00,3,1,35,Y,06/27/2019,1958,35,599000,2017,599000,13,SUMMIT CT*,"SplitLev,",167300,
3554198,2.10,3,2,10,Y,07/22/2019,1925,10,599000,,595000,1029,GRANDVIEW AVE*,"Colonial,",123600,
3536636,2.10,4,1,72,Y,07/23/2019,,72,599900,2015,599900,789,AUSTIN ST*,"Ranch,",143300,
3550756,2.00,4,1,5,N,06/28/2019,,4,599900,2004,615500,320,AYLIFFE AVE*,"CapeCod,",155000,
3561691,1.20,3,2,30,Y,08/09/2019,1934,26,599900,,565969,927,BOULEVARD*,"Colonial,",128500,
3585534,2.00,3,1,4,Y,10/25/2019,1927,3,599900,2012,532500,953,SUMMIT AVE*,"CapeCod,",618600,
3581943,2.10,3,1,8,Y,10/21/2019,1939,9,600000,,645000,1007,Ripley Avenue,"Colonial,",542600,
3556639,2.10,4,2,104,N,10/15/2019,1961,100,617500,,499751,39,CAROL RD*,"Bi-Level,",125100,
3566926,1.00,3,1,10,Y,08/16/2019,1926,9,619000,,665000,614,HANFORD PL*,"Colonial,",152300,
3589312,2.00,4,1,6,Y,10/25/2019,1960,6,619000,,619000,225,DELAWARE ST*,"Ranch,",633100,
3537967,1.10,4,2,46,Y,06/14/2019,,46,625000,,575000,604,ROOSEVELT ST*,"Colonial,",0,
3548389,3.10,3,1,50,Y,08/27/2019,2019,51,625000,,625000,321,E GROVE ST*,"TwnIntUn,MultiFlr",143600,
3578733,1.10,5,1,9,Y,10/15/2019,1917,9,625000,,655000,728,BOULEVARD*,"Colonial,",789400,
3538677,2.00,4,0,40,Y,06/12/2019,1952,39,629000,,620000,830,E BROAD ST*,"Colonial,",134100,
3543393,3.00,4,2,14,Y,06/25/2019,1962,13,629000,2017,629000,6,OSBORN AVE*,"Colonial,",121800,
3559756,2.10,3,2,55,Y,08/19/2019,1993,65,629900,,600000,10,EASTGATE SQ*,"TwnEndUn,MultiFlr,Colonial",135000,
3573362,2.10,4,1,44,Y,10/15/2019,1948,42,629900,2005,617500,920,HARDING ST*,"Colonial,Tudor",686800,
3538482,2.00,4,1,14,Y,05/20/2019,1940,14,635000,,635000,126,LUDLOW PL*,"CapeCod,",0,
3590738,1.10,3,1,14,Y,12/02/2019,,14,639000,2007,620000,862,DORIAN RD*,"Colonial,",687300,
3557312,2.00,4,1,23,N,08/29/2019,1953,22,639900,,634000,6,WESTBROOK ROAD,"SplitLev,",125000,
3537932,2.10,4,1,7,Y,06/25/2019,1953,7,643900,,643900,447,LONGFELLOW AVE*,"Colonial,",147200,
3525178,2.00,3,1,87,Y,06/07/2019,1962,87,645000,,612000,751,TAMAQUES WAY*,"SplitLev,",142400,
3503496,2.10,3,2,174,Y,03/28/2019,1915,168,647500,,600000,536,FOREST AVE*,"Colonial,",146600,
3528235,3.10,4,2,17,Y,04/30/2019,1955,17,649000,,639000,791,LAMBERTS MILL RD*,"SplitLev,",175000,
3553925,2.10,3,1,11,Y,07/29/2019,1957,11,649000,2019,663000,761,FAIRACRES AVE*,"Colonial,",165500,
3559134,2.10,3,2,87,Y,10/11/2019,1959,86,649000,1994,630000,526,CLIFTON ST*,"RanchExp,",129900,
3559171,2.10,5,1,56,Y,07/26/2019,1928,56,649000,,649000,437,EVERSON PLACE,"Colonial,Custom",165200,
3577151,2.10,3,1,62,Y,11/12/2019,1934,62,649000,,610000,268,CANTERBURY RD*,"Colonial,Custom",733600,
3584544,2.10,4,2,49,Y,12/06/2019,1966,49,649000,2019,640000,141,SUMMIT CT*,"Colonial,",540000,
3528482,3.10,4,2,112,Y,07/01/2019,1968,116,649900,2015,610000,53,MOHICAN DR*,"Colonial,",209100,
3548392,3.10,3,1,13,Y,08/15/2019,2019,14,650000,,650000,321,E GROVE ST*,"TwnEndUn,MultiFlr",143600,
